0 2.251510800930628e-24 5.870752207228034e-30 0.0 0.0
1 8.362299524816072e-08 3.827574658717286e-15 0.0 0.0
2 2.8843565434589938e-08 5.666758376384396e-15 2.8843565603384466e-08 5.666732643839846e-15
3 1.4158760207367141e-08 2.5550587800515607e-15 1.4158760127460291e-08 2.5550431591084464e-15
4 1.7392562869799408e-08 1.1365502337292672e-15 1.739256298393058e-08 1.1365550564483476e-15
5 1.482083665735683e-08 1.7126455901083892e-15 1.4820836622612372e-08 1.712650466029393e-15
6 3.33012675472821e-08 1.8159899457815298e-15 3.3301267927808865e-08 1.8159966517360735e-15
7 2.0251486276545153e-08 2.284976327640543e-15 2.025148631779267e-08 2.2849912680321015e-15
8 2.182724893028487e-08 1.7080726752774251e-15 2.182724893682677e-08 1.7080609600100736e-15
9 1.3690241646230062e-08 3.793069188986045e-15 1.3690241666749573e-08 3.793084572562665e-15
10 2.618102147542343e-08 1.697551957195237e-15 2.6181021461023666e-08 1.697563386083838e-15
11 1.6380021760872728e-08 3.107437403022584e-15 1.638002174859625e-08 3.1074336916322666e-15
12 2.6892678158502262e-08 1.3530911205023025e-15 2.689267825757797e-08 1.3530922626867897e-15
13 1.561927758416024e-08 2.2744361669960538e-15 1.5619277634935128e-08 2.2744356543113583e-15
14 2.331979154434472e-08 8.062886746704777e-16 2.3319791561217335e-08 8.06288079050387e-16
15 1.5110353155900422e-08 2.507788261035523e-15 1.5110353109652605e-08 2.507787080398086e-15
16 1.3540270430419962e-08 2.980973517064166e-15 1.3540270504112404e-08 2.9809618886054263e-15
17 1.6026109820414747e-08 2.3200831336444134e-15 1.6026109802865333e-08 2.320082243461606e-15
18 1.0974214380886422e-08 2.5699894565880814e-15 1.0974214450856469e-08 2.5699963975274214e-15
19 9.12956773710597e-09 2.740578296117293e-15 9.129567715715845e-09 2.7405837671173052e-15
20 1.2562393520758086e-08 2.532151065920608e-15 1.2562393569428425e-08 2.532146603965124e-15
21 2.1600855819312645e-08 2.1052022909488174e-15 2.1600855812806016e-08 2.1052011914826106e-15
22 1.551946243720722e-08 3.1884470435629914e-15 1.551946248680601e-08 3.188445985440507e-15
23 9.522492944405605e-09 2.523981640953602e-15 9.52249296838393e-09 2.523989586901975e-15
24 1.1400260170800867e-08 3.693903462128335e-15 1.1400260209129493e-08 3.693910298127781e-15
25 1.2988116755386956e-08 3.4019598978472745e-15 1.2988116801310933e-08 3.401968644839094e-15
26 1.3203137081786393e-08 2.7020432980330682e-15 1.3203137040843321e-08 2.7020525004717733e-15
27 8.77247269315947e-09 1.7781236037903026e-15 8.772472694086065e-09 1.7781213753060283e-15
28 7.8596234397549e-09 1.525098610316821e-15 7.859623496348929e-09 1.5251041058486206e-15
29 1.0226863932946707e-08 2.9610925122471023e-15 1.022686392465161e-08 2.961094653588046e-15
30 9.120954095628482e-09 2.6764853621065638e-15 9.120954143753131e-09 2.67648956404295e-15
31 7.096227457126838e-09 2.3694431011171327e-15 7.096227462135972e-09 2.369442374751588e-15
32 8.123510461825782e-09 2.7658020721402275e-15 8.12351048506181e-09 2.7657912485721425e-15
33 6.7426373050754576e-09 2.806469548588784e-15 6.742637306207783e-09 2.8064658106931606e-15
34 9.248578907882896e-09 1.5882399093655527e-15 9.248578984253195e-09 1.5882401376142974e-15
35 9.426273626271414e-09 2.7916854682459704e-15 9.426273605168086e-09 2.791679362194915e-15
36 1.0417874024847985e-08 2.312705100649751e-15 1.041787407967443e-08 2.312705075404403e-15
37 8.778848443173393e-09 2.8683566940347783e-15 8.778848417870307e-09 2.8683588449244474e-15
38 6.390946907405022e-09 2.7958073476019927e-15 6.390946906174037e-09 2.795813545415175e-15
39 8.413520251548929e-09 2.103181249755421e-15 8.413520256715267e-09 2.103176136226683e-15
40 6.9553741597354015e-09 2.002004805804085e-15 6.955374123305623e-09 2.0020041552456085e-15
41 6.6199460770430985e-09 2.416395084829964e-15 6.6199460748609465e-09 2.4163957188747423e-15
42 7.529999326632574e-09 2.408347081700976e-15 7.529999345189631e-09 2.4083371811038224e-15
43 7.059156182555538e-09 2.403240929602152e-15 7.059156191125972e-09 2.403241131743984e-15
44 6.909328269107664e-09 2.1692444024587265e-15 6.909328279192915e-09 2.1692404235761625e-15
45 5.5785362352746185e-09 1.6925493344394818e-15 5.5785362334728975e-09 1.6925433988167298e-15
46 5.974694137808391e-09 2.4008412169043548e-15 5.974694154310713e-09 2.4008380434948314e-15
47 5.6189921837808424e-09 2.7409190503951126e-15 5.618992177446294e-09 2.740916916689294e-15
48 4.286633662075306e-09 2.2724635832126755e-15 4.286633634562642e-09 2.2724606615279732e-15
49 7.175342959669149e-09 2.427449099986602e-15 7.175342951929412e-09 2.4274470259289624e-15
50 5.359258076151918e-09 1.8203393264185502e-15 5.3592580823111824e-09 1.820333506194073e-15
51 6.2008053796427654e-09 2.1341792101403652e-15 6.200805369078629e-09 2.1341766282587506e-15
52 5.339015628282651e-09 1.887108457656226e-15 5.339015648200167e-09 1.8871016605435283e-15
53 4.486140738846548e-09 1.9581950408175374e-15 4.486140752541123e-09 1.9581957873677673e-15
54 5.606164230813992e-09 2.0616625818054533e-15 5.606164255152955e-09 2.0616606328197e-15
55 5.464143264307883e-09 2.047433295800363e-15 5.464143271492369e-09 2.0474287737148798e-15
56 4.674293417009857e-09 2.020806966841383e-15 4.674293408079673e-09 2.020810725174819e-15
57 4.0188228244230825e-09 2.20300692290185e-15 4.018822834777025e-09 2.2030057968264566e-15
58 4.5420682543560825e-09 2.0463025713681117e-15 4.5420682301622564e-09 2.046300743706569e-15
59 5.038958542837917e-09 2.1054282566573923e-15 5.038958571610317e-09 2.1054222771827105e-15
60 3.661797881723162e-09 2.1618666036737868e-15 3.6617978865072987e-09 2.1618586566364196e-15
61 4.9027119364031774e-09 2.130285348511602e-15 4.902711930320508e-09 2.1302867098013403e-15
62 3.805321621473218e-09 2.3806702519039174e-15 3.805321612746432e-09 2.3806719874786283e-15
63 3.253808425810075e-09 2.176862443467721e-15 3.253808418692533e-09 2.1768611733246537e-15
64 3.8803082297464625e-09 1.8271343527047277e-15 3.880308247580616e-09 1.8271300231428686e-15
65 4.065977671310988e-09 1.825833632015579e-15 4.065977675133149e-09 1.825829614898781e-15
66 3.750358243766412e-09 2.164439006691861e-15 3.7503582318927845e-09 2.1644416439589918e-15
67 4.8385656143801305e-09 1.9404344875112214e-15 4.838565601644611e-09 1.9404334333343037e-15
68 3.769266475445389e-09 2.1937909569822484e-15 3.769266478730462e-09 2.19378990171172e-15
69 4.14083677089473e-09 1.993736894432017e-15 4.14083676405909e-09 1.993740995520808e-15
70 4.657898937593471e-09 2.042269173317904e-15 4.657898954534748e-09 2.042270355956873e-15
71 3.0697453944878382e-09 1.93948864240491e-15 3.0697453922171174e-09 1.9394869459116124e-15
72 3.5647810439505334e-09 1.7703561174766023e-15 3.5647810505418737e-09 1.770359675562785e-15
73 3.1805925048955386e-09 2.2089363618062314e-15 3.180592510340006e-09 2.2089345367565563e-15
74 3.1472964698407246e-09 2.071972524407469e-15 3.1472964539702082e-09 2.0719695379528497e-15
75 2.9857324169853202e-09 2.4453904561883645e-15 2.985732416127517e-09 2.4453863455964585e-15
76 3.1731293312927918e-09 1.9976300755902885e-15 3.173129335929049e-09 1.9976299320517614e-15
77 2.4664294826354213e-09 2.0633577799745873e-15 2.4664294889828194e-09 2.0633556651882444e-15
78 3.986033083783018e-09 2.0566287315870267e-15 3.9860331041550696e-09 2.056633361511998e-15
79 3.1171937034025624e-09 1.6770118504579804e-15 3.1171937164426685e-09 1.6770122242596079e-15
80 3.0368796457530594e-09 2.4033832986827804e-15 3.0368796777082756e-09 2.4033877206128232e-15
81 2.6010035986082135e-09 2.177191337810067e-15 2.6010035890306887e-09 2.177193754258307e-15
82 2.3042517715933087e-09 1.895659156360289e-15 2.304251758892304e-09 1.8956624903191657e-15
83 3.152317989533792e-09 2.2390682178432427e-15 3.1523179895865326e-09 2.239069413075708e-15
84 2.78621859164302e-09 2.474877097242053e-15 2.7862185964902333e-09 2.474877875103978e-15
