# power spectrum of B
# redshift z=0.250000
# k              Pk             sigma(k)       sigma(Pk)      count
  5.568222e-03   4.428544e-16   8.519909e-04   5.855450e-17   18
  9.131063e-03   7.223596e-16   8.912382e-04   9.679806e-17   38
  1.253842e-02   8.509606e-16   1.201188e-03   6.364671e-17   90
  1.576526e-02   9.100121e-16   8.300005e-04   4.673232e-17   110
  1.914563e-02   8.469698e-16   8.817756e-04   4.054653e-17   204
  2.286235e-02   7.291090e-16   8.991847e-04   3.364233e-17   290
  2.676755e-02   6.638862e-16   1.107683e-03   2.450801e-17   438
  3.041500e-02   6.097103e-16   1.000718e-03   1.905094e-17   458
  3.364830e-02   5.909566e-16   1.048599e-03   1.864230e-17   558
  3.702688e-02   5.540323e-16   1.011864e-03   1.504830e-17   740
  4.072513e-02   5.415403e-16   9.874414e-04   1.304498e-17   942
  4.439681e-02   4.878049e-16   9.350652e-04   1.059908e-17   1058
  4.797222e-02   4.490429e-16   1.023524e-03   8.850790e-18   1242
  5.140905e-02   4.248196e-16   1.023637e-03   8.133832e-18   1334
  5.478089e-02   3.893322e-16   1.023267e-03   6.666393e-18   1572
  5.843210e-02   3.680313e-16   1.057649e-03   5.714356e-18   1974
  6.212864e-02   3.453672e-16   9.498097e-04   5.179174e-18   2066
  6.565452e-02   3.266663e-16   9.744957e-04   4.841225e-18   2286
  6.908999e-02   2.958315e-16   9.703877e-04   4.212388e-18   2426
  7.257462e-02   2.948359e-16   1.062013e-03   3.773306e-18   2874
  7.613899e-02   2.641407e-16   1.026303e-03   3.407521e-18   3128
  7.968501e-02   2.522543e-16   9.705286e-04   3.116782e-18   3354
  8.329015e-02   2.288241e-16   1.051341e-03   2.613521e-18   3902
  8.688019e-02   2.094473e-16   9.986039e-04   2.363217e-18   3930
  9.028570e-02   1.947039e-16   9.994087e-04   2.155168e-18   4190
  9.372620e-02   1.828258e-16   9.972240e-04   1.905239e-18   4644
  9.734455e-02   1.701519e-16   1.043320e-03   1.644595e-18   5306
  1.010106e-01   1.607798e-16   1.032596e-03   1.552139e-18   5622
  1.045820e-01   1.541913e-16   1.000476e-03   1.419363e-18   5762
  1.080963e-01   1.437122e-16   1.083161e-03   1.289081e-18   6318
  1.115658e-01   1.357783e-16   9.971312e-04   1.209549e-18   6348
  1.150901e-01   1.292874e-16   1.005011e-03   1.072153e-18   7358
  1.187520e-01   1.225766e-16   1.034507e-03   9.910412e-19   7746
  1.222932e-01   1.186011e-16   1.002386e-03   9.358068e-19   7778
  1.258474e-01   1.129013e-16   1.081326e-03   8.482699e-19   8838
  1.294176e-01   1.077674e-16   1.022158e-03   8.115266e-19   8762
  1.328758e-01   1.027477e-16   9.992634e-04   7.548120e-19   9264
  1.364188e-01   9.719348e-17   9.603969e-04   6.739946e-19   10154
  1.400065e-01   9.335186e-17   1.021706e-03   6.564489e-19   10542
  1.435353e-01   8.840073e-17   1.031879e-03   6.097786e-19   10874
  1.470390e-01   8.369223e-17   9.510874e-04   5.510915e-19   11562
  1.505632e-01   8.095630e-17   9.948096e-04   5.233687e-19   12104
