0 6.181263472777266e-19 1.9492374010206008e-28 0.0 0.0 0.0 0.0
1 1.2273410710572499e-15 1.49731725567042e-27 0.0 0.0 0.0 0.0
2 9.045508668618439e-14 8.634761080714314e-28 5.370220999765971e-14 4.735533040582931e-15 5.3702188568849175e-14 4.735433290511464e-15
3 2.861535406363958e-14 1.4365174688705506e-27 2.218545916532364e-14 1.2931408626017214e-15 2.218568549688263e-14 1.2931381735955196e-15
4 1.3424517118212109e-14 1.355874845370564e-27 1.1421168672877931e-14 7.400871357795473e-16 1.1420916664107495e-14 7.400998377216758e-16
5 1.4531574728738464e-14 1.7530261442192882e-27 1.274548114646541e-14 1.3955748828983172e-15 1.2745456363897068e-14 1.3955411821262564e-15
6 3.764773347063503e-14 1.3841900474008116e-27 3.467808962454445e-14 9.244334977534441e-16 3.467798194847101e-14 9.244262926313583e-16
7 2.1940061111780578e-14 1.4104204531319193e-27 2.081581730235072e-14 4.820090395200128e-16 2.0815718550593472e-14 4.819870540117811e-16
8 1.4312207003373306e-14 2.8981048088595816e-27 1.3736928090885508e-14 4.837783481156896e-16 1.3736954060908736e-14 4.837636862944221e-16
9 2.871671822938281e-14 2.2527578799758353e-27 2.78284386016389e-14 6.151738295948228e-16 2.7828430126467314e-14 6.151569298356971e-16
10 2.1525786069881526e-14 1.3619563439206853e-27 2.071658885076826e-14 4.784753451573417e-16 2.0716548896984278e-14 4.78464762408121e-16
11 3.4768603538860546e-14 3.084522438979931e-27 3.3696415092326746e-14 3.5511643763895907e-16 3.3696466709777344e-14 3.5509664732639884e-16
12 1.5819794541028165e-14 5.06843442220346e-27 1.5332503869764056e-14 2.6998223696658453e-16 1.5332479362582445e-14 2.699814124778783e-16
13 1.2273757269089214e-14 3.438229620493877e-27 1.2035220710145194e-14 2.7436628170062475e-16 1.2035217772969119e-14 2.7437027968788137e-16
14 2.3403517490573643e-14 6.340172526983214e-27 2.2887859458448025e-14 2.2541810934674514e-16 2.288783251812478e-14 2.2541535152732185e-16
15 2.5297353658677803e-14 5.939870571741266e-27 2.4819735214673755e-14 1.8403138634911596e-16 2.4819693226422953e-14 1.8403186746587522e-16
16 1.859055000838199e-14 5.75862556379679e-27 1.832165829029606e-14 1.6091602473004848e-16 1.8321633493093836e-14 1.609152774288649e-16
17 1.3727723469069496e-14 4.5197058027342734e-27 1.3568445812923537e-14 2.2433943622581773e-16 1.3568425693861304e-14 2.2434163723815484e-16
