0 4.6945189452873205e-32 3.5695765743740118e-34 0.0 0.0
1 5.858105248506839e-16 4.1281850099826946e-15 0.0 0.0
2 8.054697509938324e-14 7.090719674215246e-15 8.054697501786879e-14 7.090719696696568e-15
3 2.6618039717512795e-14 1.5513017977159267e-15 2.6618039494182697e-14 1.5513018130447562e-15
4 1.2694116877192923e-14 8.238987067991145e-16 1.2694116869496539e-14 8.238987162852355e-16
5 1.3655083273752916e-14 1.4915854355015823e-15 1.3655083543026978e-14 1.4915854310461361e-15
6 3.6416931402869795e-14 9.711308319725074e-16 3.641693144793185e-14 9.711308256348278e-16
7 2.1587046397982688e-14 4.992980663066708e-16 2.1587046043743954e-14 4.992980619941922e-16
8 1.4131917934795598e-14 4.979812617348402e-16 1.4131917933124404e-14 4.979812750306284e-16
9 2.845878111188975e-14 6.284598948651553e-16 2.8458781174193164e-14 6.284598941517172e-16
10 2.109731554834229e-14 4.867773103851459e-16 2.109731555084955e-14 4.867772931590283e-16
11 3.420701457781611e-14 3.606188827209276e-16 3.420701408541826e-14 3.6061888519170837e-16
12 1.552971186586955e-14 2.736839876224277e-16 1.5529711900579743e-14 2.7368399272662175e-16
13 1.2167956058002938e-14 2.778049700079339e-16 1.216795579174311e-14 2.7780497151546707e-16
14 2.3106962551533077e-14 2.2734524308120057e-16 2.3106962552813187e-14 2.2734524467954577e-16
15 2.5032601552769812e-14 1.8549764228432561e-16 2.5032601414032545e-14 1.8549764343196527e-16
16 1.8459018813653334e-14 1.6221497991491037e-16 1.8459018816817944e-14 1.622149704196395e-16
17 1.3656565963730006e-14 2.263565073900342e-16 1.365656584863165e-14 2.2635650755503905e-16
18 1.8406399195644313e-14 1.1246945349665442e-16 1.8406399223582525e-14 1.1246945532052366e-16
19 1.3101165912691023e-14 1.5532142140300575e-16 1.3101165880307278e-14 1.5532142198492416e-16
20 1.4267865921646644e-14 1.4273800541096107e-16 1.4267865897501057e-14 1.4273800846340922e-16
21 2.0866702383670788e-14 1.1167293711818083e-16 2.086670255924321e-14 1.1167293566889194e-16
22 1.472944432794566e-14 1.2643864421739108e-16 1.4729444341307016e-14 1.2643864914489912e-16
