0 1.2315222795565597e-07 9.957056941380521e-23 0.0 0.0 0.0 0.0
1 1.1213643739527384e-07 8.333473856658304e-18 0.0 0.0 0.0 0.0
2 3.190034525926174e-08 2.5924801470527075e-16 1.9240902830009235e-08 1.613569539329963e-14 1.9193195044703876e-08 4.4964254795385584e-17
3 1.685963369412295e-08 7.607788142492725e-16 1.1825639109177146e-08 6.786683991752528e-14 1.179970880798125e-08 7.513989235500716e-16
4 1.8274022782275014e-08 4.801845214939047e-16 1.583288318997179e-08 3.301613392694164e-14 1.564222757453803e-08 8.155210096101156e-16
5 1.6877753292256e-08 4.2572661731262624e-16 1.3818577736027554e-08 2.940426329259508e-14 1.3818763345336828e-08 9.300828439361102e-16
6 3.491231884991562e-08 7.560362133703825e-16 3.16814783912031e-08 5.288721637410726e-14 3.16539440087408e-08 1.3593331009209746e-15
7 2.1639951999491226e-08 1.6062658039311788e-15 1.95397090504611e-08 7.674154296722893e-14 1.950269849890805e-08 1.92383388489679e-15
8 2.246169063903575e-08 1.3636102420851905e-15 2.1248784920038563e-08 5.6255218643933937e-14 2.119978816176826e-08 1.6028856361650254e-15
9 1.413576001623628e-08 3.072402031160926e-15 1.3390623271953331e-08 4.2192974457730497e-14 1.3373431523173993e-08 3.2602189861894225e-15
10 2.6987158534543398e-08 2.0829243827512403e-15 2.573374725221847e-08 3.5208833179602566e-14 2.5696915962196044e-08 3.5563302064156195e-15
11 1.6796560792061177e-08 2.3001283699078157e-15 1.6140053795443967e-08 4.813331086204423e-14 1.6119897420149112e-08 3.2807537986866787e-15
12 2.7521722594559892e-08 1.3401125159857877e-15 2.659570612196213e-08 3.658319195443217e-14 2.652615080790372e-08 2.50588820747532e-15
13 1.589364720650579e-08 2.06251517989901e-15 1.5458445240060904e-08 6.119307665398458e-14 1.543669022351916e-08 2.222695798314193e-15
14 2.371116132059077e-08 6.839526042695282e-16 2.3104770055108748e-08 3.161994755832119e-14 2.307263686863078e-08 1.2645999493039848e-15
15 1.5309835837734276e-08 2.531895511700457e-15 1.5012712844839434e-08 6.128498880783287e-14 1.4970281690090264e-08 3.2735562988478984e-15
16 1.3845508237802646e-08 2.7094364434765865e-15 1.346249151560394e-08 3.418254201194445e-14 1.3432029871046214e-08 3.3632859321807837e-15
17 1.6265260590796802e-08 2.4812964540560255e-15 1.593910627418282e-08 4.394183126455994e-14 1.5911792677980676e-08 3.522518150128451e-15
18 1.1194752515615071e-08 2.495490568800383e-15 1.0918250746318161e-08 3.987982617239758e-14 1.0900032592630167e-08 2.3963630324692762e-15
19 9.262928886651036e-09 2.4984928783771443e-15 9.086946038692213e-09 3.5042081796093516e-14 9.074958027875414e-09 3.3024028743962682e-15
20 1.2745935593147209e-08 2.2078758094587955e-15 1.251784904322884e-08 3.751060849974153e-14 1.2492228030603317e-08 3.0534186913843425e-15
21 2.1892465856552725e-08 1.9933260935400365e-15 2.153695967915954e-08 2.961110748516308e-14 2.1502136822771386e-08 2.6130776006801514e-15
22 1.5721796055470995e-08 3.0684468384875893e-15 1.5480194415833418e-08 4.311356285374629e-14 1.545047916081171e-08 2.745168691517577e-15
23 9.608030170059723e-09 2.565158469008432e-15 9.489605202730494e-09 4.044264169505013e-14 9.478028858742663e-09 2.6819872703913023e-15
24 1.1536929254160076e-08 3.5119765235655793e-15 1.1382516181867926e-08 5.330479110845912e-14 1.1356458088585265e-08 4.956113594815194e-15
25 1.3136583487496988e-08 3.1798615287823613e-15 1.295204013839835e-08 3.617981263810791e-14 1.293615702537515e-08 3.278711028550759e-15
26 1.3330392617445034e-08 2.3993006336481764e-15 1.3174940235304854e-08 4.252896438453821e-14 1.3153895222785053e-08 2.9645813040236863e-15
27 8.873652249175888e-09 1.7438594464525822e-15 8.76927913871304e-09 3.6647434306396196e-14 8.749618844456759e-09 1.9431867985767672e-15
28 7.941428430154458e-09 1.4516877844054692e-15 7.844609061059999e-09 3.2677625376321536e-14 7.835420984107896e-09 2.426669900737822e-15
29 1.032627561873639e-08 2.8313024127630678e-15 1.0204671620263275e-08 4.7661068547898305e-14 1.0188606978935076e-08 2.879477979736198e-15
30 9.20724926532698e-09 2.521342815449998e-15 9.116193987012741e-09 4.7836913882990056e-14 9.098789844828708e-09 2.8466733167177797e-15
31 7.150466863519154e-09 2.2686068979458955e-15 7.084574880745903e-09 3.5059846714870915e-14 7.072277696511421e-09 2.8229189128546107e-15
32 8.195274100172402e-09 2.72845255177692e-15 8.115034556379724e-09 3.84473737093387e-14 8.10392459415142e-09 3.4577625711086576e-15
33 6.80552962047042e-09 2.6956244402081624e-15 6.739870138158483e-09 4.242721308338163e-14 6.7256879500014715e-09 3.2386338236136918e-15
34 9.327720304136511e-09 1.6835572868255718e-15 9.24262318642701e-09 2.1545126917298814e-14 9.224497833480417e-09 2.3383055471600987e-15
35 9.501166612870664e-09 2.6886835149032978e-15 9.419843021668478e-09 3.446228599796254e-14 9.405231889697558e-09 2.8123174093142365e-15
36 1.0502350277517047e-08 2.259078977297785e-15 1.0409783003069155e-08 3.97812885819852e-14 1.0391514417206115e-08 3.094159198667861e-15
37 8.846929010944807e-09 2.8808950673764072e-15 8.777991229673197e-09 3.742102022508543e-14 8.762614951605888e-09 3.1331517873052177e-15
38 6.435074416722691e-09 2.7684548215821392e-15 6.385390449632186e-09 3.151527436715796e-14 6.377612263027096e-09 3.3901317384233027e-15
39 8.483431556722199e-09 2.0446570265295837e-15 8.419669518528681e-09 2.616166924184279e-14 8.397930949490773e-09 2.4075908844188674e-15
40 7.0053864934654705e-09 1.8545273506708862e-15 6.959603035434375e-09 4.0373494206821146e-14 6.9423745085515616e-09 2.351355779715079e-15
41 6.672460762574405e-09 2.398468959395403e-15 6.625856554067092e-09 3.364731825324391e-14 6.611717163123963e-09 2.98616910375928e-15
42 7.588885493185689e-09 2.3758441526110835e-15 7.527234854023244e-09 2.6410538861583877e-14 7.5176393618817e-09 3.3451632811347002e-15
43 7.109246414648043e-09 2.3223247933687924e-15 7.058971817941798e-09 3.910873759710916e-14 7.044246981406106e-09 2.731688178753878e-15
44 6.961570942763432e-09 2.2310339999549367e-15 6.916450254071547e-09 3.0415717131826e-14 6.901283479108773e-09 2.654839927123842e-15
45 5.620566374685406e-09 1.789983537770509e-15 5.578905373628808e-09 2.993210947587639e-14 5.569894230539621e-09 2.2093745978232474e-15
46 6.012047358938283e-09 2.467257049117688e-15 5.9737347083485446e-09 2.5116960595356073e-14 5.965673047119969e-09 2.810302570611592e-15
47 5.660900817953244e-09 2.7537713086324007e-15 5.618224186033123e-09 4.0243172818084034e-14 5.61008487152754e-09 3.1570748438160544e-15
48 4.310321256458828e-09 2.3108990819368885e-15 4.2868302938754136e-09 3.30117566475149e-14 4.2814079471084485e-09 2.658183197453682e-15
49 7.220977443068307e-09 2.462323031967814e-15 7.173060325773798e-09 3.1082325360064557e-14 7.164498926765155e-09 2.83270092876311e-15
50 5.396204597598031e-09 1.7753200745735876e-15 5.363641446827845e-09 3.027468954506349e-14 5.350288826273875e-09 2.3620627151165075e-15
51 6.242397271976159e-09 2.1118152064390244e-15 6.20826127713622e-09 2.858483218456681e-14 6.193662084298343e-09 2.8081090099315793e-15
52 5.369029526078138e-09 1.819547493198878e-15 5.341034666993066e-09 2.306084128267397e-14 5.330544213407886e-09 2.195953807970427e-15
53 4.515789827519008e-09 1.9422484129282783e-15 4.486181421386344e-09 3.0918097883760056e-14 4.479731687851576e-09 2.3371828973957135e-15
54 5.6401549609823795e-09 2.06521645278045e-15 5.610471599370763e-09 2.3755507104248842e-14 5.599821832175871e-09 2.532014310804252e-15
55 5.499684267845035e-09 2.0600640876864e-15 5.466556080573291e-09 2.4256029823538686e-14 5.457989208407322e-09 2.8561181057257657e-15
56 4.7032464781080455e-09 2.0000888047406702e-15 4.681764635475892e-09 2.7903177563006543e-14 4.668474856347484e-09 2.3521648155359224e-15
57 4.045267063794595e-09 2.179903468809764e-15 4.020354828928453e-09 3.1707948743293196e-14 4.012505653081901e-09 2.6413269613639867e-15
58 4.56978284120369e-09 2.0495302362328266e-15 4.546055442853398e-09 3.360573420257364e-14 4.534698094038892e-09 2.2136599008975594e-15
59 5.067585922476738e-09 2.0556056758873083e-15 5.038336097802188e-09 3.5832676913395e-14 5.030986192731237e-09 2.174919887332733e-15
60 3.6871519777316538e-09 2.12689791925927e-15 3.664880630143477e-09 2.3716707643832244e-14 3.6583619827604497e-09 2.827089049006056e-15
61 4.932242922790283e-09 2.196618812238967e-15 4.906044201559025e-09 2.863670702823959e-14 4.89752041466819e-09 2.8513442720801066e-15
62 3.827471224112267e-09 2.3555337737993197e-15 3.8102655689455406e-09 1.9130161137388835e-14 3.801120750477579e-09 2.670760516073704e-15
63 3.2717926250413193e-09 2.2018739417804434e-15 3.256854363654604e-09 2.086002806413903e-14 3.250174747470073e-09 2.3115719755620897e-15
64 3.899117375750596e-09 1.8295908958596348e-15 3.881381098881148e-09 2.742684754324119e-14 3.875411195751921e-09 2.3924490683906423e-15
65 4.090822129115986e-09 1.7813134203402135e-15 4.07389793106895e-09 2.3399203495166272e-14 4.0637034268224594e-09 2.0768408821370706e-15
66 3.773294160484436e-09 2.175512582762651e-15 3.7582334794415695e-09 2.3364461907448796e-14 3.746923284028228e-09 2.6919313973138814e-15
67 4.863678716411196e-09 1.9797016421677806e-15 4.845541011840916e-09 2.7561393214903756e-14 4.832142411082867e-09 2.4653432819346504e-15
68 3.7940980155600165e-09 2.1724162592546383e-15 3.776036476235716e-09 2.5246236360573602e-14 3.766264073983533e-09 2.3640199132352713e-15
69 4.16849552972595e-09 1.9925536762319023e-15 4.148814769106518e-09 2.397312938456598e-14 4.137948038717866e-09 2.372748293150074e-15
70 4.6862248716533404e-09 2.0460782721927787e-15 4.669582919575865e-09 3.044229665561476e-14 4.653901209970738e-09 2.271852961231485e-15
71 3.085280681300908e-09 1.9315813725274822e-15 3.0723348739767314e-09 2.818825354795086e-14 3.06695732177488e-09 2.322085381361688e-15
72 3.5841844397258925e-09 1.7664933072684717e-15 3.5654606017944778e-09 2.0792587146684094e-14 3.560089053338616e-09 2.168352536164984e-15
73 3.1994854394827015e-09 2.1866196060990344e-15 3.183212273165563e-09 2.1365415309961155e-14 3.176312008536863e-09 2.475246568606613e-15
74 3.166380037561174e-09 2.081138317865367e-15 3.151830121103874e-09 2.3891060713285574e-14 3.1445904399566687e-09 2.617023431563849e-15
75 3.0019657851566203e-09 2.4183804143634354e-15 2.990396263853036e-09 2.4949564378328628e-14 2.9823810088591264e-09 3.121047944869036e-15
76 3.1922468988908354e-09 1.9698967872195636e-15 3.1760123874976225e-09 2.2967758136543043e-14 3.1715387340997564e-09 2.2048421903353733e-15
77 2.4830128285389952e-09 2.0438697036575566e-15 2.4730469949379513e-09 2.1951819617048024e-14 2.4646343192272208e-09 2.3066562988089153e-15
78 4.008517787365161e-09 2.019987671024844e-15 3.991784175501024e-09 2.5619148966451132e-14 3.982098674065525e-09 2.2676520564568858e-15
79 3.133102750261273e-09 1.6416089059851998e-15 3.1208999688233434e-09 2.499260039877224e-14 3.1134352775391927e-09 2.0859611415970985e-15
80 3.054112073146901e-09 2.4018266691408713e-15 3.039670430081368e-09 2.1100124850011824e-14 3.0340331159578586e-09 2.9700228000854593e-15
81 2.617404114957555e-09 2.2013995721684346e-15 2.6046919933939675e-09 2.4551293623257614e-14 2.597999584355905e-09 2.4455262359188964e-15
82 2.3166483234757792e-09 1.8658619448555812e-15 2.30655895713722e-09 2.15605130387667e-14 2.302333846661162e-09 2.2585624501566864e-15
83 3.1687662019308683e-09 2.268969563310919e-15 3.1582838820439495e-09 2.2788014365765444e-14 3.150178198570958e-09 2.6424404186846706e-15
84 2.799729019561334e-09 2.4712971081240516e-15 2.7892562599307354e-09 2.102040694469704e-14 2.7834225980342118e-09 2.9521407313650123e-15
85 2.7395720339333878e-09 1.8456235667476878e-15 2.7281452145077984e-09 2.0716223416630873e-14 2.7227896337302236e-09 2.2950311823134505e-15
86 2.5920763661371573e-09 1.9670713131680922e-15 2.5796169617577273e-09 2.2852858726235574e-14 2.5751420764412043e-09 2.3956775290263137e-15
87 2.350522871723101e-09 1.8415450126440695e-15 2.344535374932446e-09 2.229426372701893e-14 2.3347124339294412e-09 2.6376212089896516e-15
88 2.6280132306022686e-09 1.92642536626938e-15 2.6159339210647086e-09 2.3456135045412186e-14 2.6109484002266325e-09 2.5639748012338515e-15
89 2.774253345388871e-09 1.631343480713985e-15 2.761169529312046e-09 2.2114509838245405e-14 2.7556821077986307e-09 2.4531774942904044e-15
