# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.044042e-03   4.472923e-10   1.597485e-04   9.883890e-11   18
  1.712074e-03   6.216686e-10   1.671080e-04   1.460913e-10   38
  2.350954e-03   8.021605e-10   2.252225e-04   6.373424e-11   90
  2.955987e-03   7.607531e-10   1.556186e-04   7.865456e-11   110
  3.589806e-03   7.393625e-10   1.653319e-04   4.654328e-11   204
  4.286691e-03   6.684219e-10   1.685941e-04   4.357710e-11   290
  5.018915e-03   6.538484e-10   2.077043e-04   3.242062e-11   438
  5.702813e-03   6.051875e-10   1.876002e-04   2.561887e-11   458
  6.309055e-03   6.215868e-10   1.966516e-04   2.470493e-11   558
  6.942538e-03   6.084162e-10   1.897568e-04   2.512502e-11   740
  7.635959e-03   6.004729e-10   1.851414e-04   1.964686e-11   942
  8.324405e-03   5.672708e-10   1.752053e-04   1.703774e-11   1058
  8.994793e-03   5.254866e-10   1.918280e-04   1.525203e-11   1242
  9.639197e-03   5.423128e-10   1.918431e-04   1.477107e-11   1334
  1.027141e-02   5.178403e-10   1.919913e-04   1.256887e-11   1572
  1.095602e-02   4.641460e-10   1.984910e-04   1.063473e-11   1974
  1.164912e-02   4.551678e-10   1.779454e-04   1.005290e-11   2066
  1.231023e-02   4.318463e-10   1.822822e-04   8.712399e-12   2286
  1.295437e-02   4.717554e-10   1.820974e-04   9.278988e-12   2426
  1.360774e-02   4.309803e-10   1.995447e-04   8.104651e-12   2874
  1.427606e-02   3.846424e-10   1.922085e-04   6.941406e-12   3128
  1.494094e-02   3.732349e-10   1.826794e-04   6.378976e-12   3354
  1.561691e-02   3.679577e-10   1.964772e-04   5.937453e-12   3902
  1.629005e-02   3.558881e-10   1.856895e-04   5.760839e-12   3930
  1.692858e-02   3.387239e-10   1.860313e-04   5.114537e-12   4190
  1.757368e-02   3.352733e-10   1.856188e-04   4.953212e-12   4644
  1.825210e-02   3.064836e-10   1.952102e-04   4.137004e-12   5306
  1.893949e-02   2.940535e-10   1.945987e-04   3.979587e-12   5622
  1.960910e-02   2.863446e-10   1.903644e-04   3.682262e-12   5762
  2.026812e-02   2.765795e-10   1.973040e-04   3.436166e-12   6318
  2.091862e-02   2.658976e-10   1.834463e-04   3.232803e-12   6348
  2.157936e-02   2.568414e-10   1.941468e-04   2.939320e-12   7358
  2.226600e-02   2.469408e-10   1.911959e-04   2.850622e-12   7746
  2.293002e-02   2.320537e-10   1.858676e-04   2.574632e-12   7778
  2.359638e-02   2.239208e-10   2.029285e-04   2.406224e-12   8838
  2.426582e-02   2.171217e-10   1.904079e-04   2.354939e-12   8762
  2.491421e-02   2.131250e-10   1.866474e-04   2.225326e-12   9264
  2.557847e-02   2.025324e-10   1.909735e-04   2.045090e-12   10154
  2.625125e-02   1.944539e-10   1.884032e-04   1.874716e-12   10542
  2.691287e-02   1.865035e-10   1.899764e-04   1.774467e-12   10874
  2.756968e-02   1.763792e-10   1.959150e-04   1.611115e-12   11562
  2.823059e-02   1.718751e-10   1.925201e-04   1.599319e-12   12104
  2.889753e-02   1.663239e-10   1.911072e-04   1.466665e-12   12858
  2.957097e-02   1.587192e-10   1.908774e-04   1.379565e-12   13526
  3.023410e-02   1.563553e-10   1.865942e-04   1.335063e-12   13650
  3.088943e-02   1.464211e-10   1.923231e-04   1.218085e-12   14462
  3.155467e-02   1.422074e-10   1.952331e-04   1.151239e-12   15348
  3.222043e-02   1.355814e-10   1.895422e-04   1.068686e-12   15738
