# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=1
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.053918787543e-05      -1.618686885649e-08      -2.081397224343e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.873875262997e+01 
       1.326805143606e-05      -3.201457660089e-08      -4.116654746947e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.338461113811e+01 
       1.670348711784e-05      -6.331684890938e-08      -8.142045842495e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.918228202860e+01 
       2.102844439823e-05      -1.252298784530e-07      -1.610356658673e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.641730307188e+01 
       2.647324302343e-05      -2.476827549181e-07      -3.185002628527e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.544598304784e+01 
       3.332783837480e-05      -4.898746941444e-07      -6.299355993049e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.671290049845e+01 
       4.195726265021e-05      -9.688758061357e-07      -1.245891947575e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.077275240472e+01 
       5.282106415967e-05      -1.915532587403e-06      -2.464244193080e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.831750309208e+01 
       6.649777994862e-05      -3.787890070121e-06      -4.873452369263e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.102103694910e+02 
       8.371574500521e-05      -7.490422068994e-06      -9.638374693345e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.375274887709e+02 
       1.053918787543e-04      -1.481104846552e-05      -1.906151787976e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.716102355798e+02 
       1.326805143606e-04      -2.928353848203e-05      -3.769554329438e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.141291107299e+02 
       1.670348711784e-04      -5.788974752363e-05      -7.453996098153e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.671621113301e+02 
       2.102844439823e-04      -1.144177689261e-04      -1.473790617464e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.332893931505e+02 
       2.647324302343e-04      -2.260786699494e-04      -2.913399607367e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.157054915472e+02 
       3.332783837480e-04      -4.465206558316e-04      -5.757527113327e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.183483194945e+02 
       4.195726265021e-04      -8.813601643660e-04      -1.137296717385e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.460401169101e+02 
       5.282106415967e-04      -1.738083284638e-03      -2.244966502350e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.046287841024e+02 
       6.649777994862e-04      -3.423078462799e-03      -4.426857022130e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.001108600776e+03 
       8.371574500521e-04      -6.729017155025e-03      -8.716177808878e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.243688950525e+03 
       1.053918787543e-03      -1.319346951476e-02      -1.712509647775e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.541766906144e+03 
       1.326805143606e-03      -2.577718907506e-02      -3.354866002911e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.905727797513e+03 
       1.670348711784e-03      -5.012504146095e-02      -6.546488174714e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.346356926203e+03 
