# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.5
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       5.716027213130e-02      -6.576581350985e+01      -2.279498968481e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.976700567020e+03 
       6.078887689376e-02      -6.699442298198e+01      -2.474089379266e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.695247941961e+03 
       6.417301183884e-02      -6.783120342745e+01      -2.655821398966e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.449011772119e+03 
       6.741388326782e-02      -6.728012873331e+01      -2.822378201186e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.210337366741e+03 
       7.057216188573e-02      -6.451437117233e+01      -2.970584982845e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.964506273297e+03 
       7.368769346297e-02      -5.889915976766e+01      -3.097451564436e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.704468929379e+03 
       7.678855618444e-02      -5.003299760842e+01      -3.200857708671e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.428417258099e+03 
       7.989569616866e-02      -3.779543181261e+01      -3.280081388145e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.138538159138e+03 
       8.302550294513e-02      -2.241249572584e+01      -3.336365898426e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.840092892637e+03 
       8.619133535352e-02      -4.433824488143e+00      -3.372878392944e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.540184246877e+03 
       8.940447334071e-02       1.527650890050e+01      -3.394725507029e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.247080434340e+03 
       9.267473708059e-02       3.558337229038e+01      -3.408796024631e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.968990600587e+03 
       9.601090385039e-02       5.521951574828e+01      -3.422924140707e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.713278106861e+03 
       9.942099686107e-02       7.286301561514e+01      -3.445475892233e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.485735345837e+03 
       1.029124901290e-01       8.736028828100e+01      -3.484017590390e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.289600560206e+03 
       1.064924565837e-01       9.778272956236e+01      -3.544921814811e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.125848294975e+03 
       1.101676767479e-01       1.036970871959e+02      -3.631716166435e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.992251597452e+03 
       1.139447193710e-01       1.052315169678e+02      -3.744558347106e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.884108397251e+03 
       1.178300016993e-01       1.031922120370e+02      -3.879480622880e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.794160196020e+03 
       1.218298347122e-01       9.917943428515e+01      -4.027486114517e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.713478939984e+03 
       1.259504571236e-01       9.538550143398e+01      -4.175761872056e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.632247389594e+03 
       1.301980609468e-01       9.440792473416e+01      -4.308567491338e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.541701951704e+03 
       1.345788107502e-01       9.862889609973e+01      -4.410991919263e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.435450506347e+03 
