# Matter power spectrum P(k) at redshift z=1
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053918787543e-05       1.874411592841e+01 
       1.326805143606e-05       2.339130314472e+01 
       1.670348711784e-05       2.919063041326e+01 
       2.102844439823e-05       3.642771605244e+01 
       2.647324302343e-05       4.545896709027e+01 
       3.332783837480e-05       5.672908280094e+01 
       4.195726265021e-05       7.079290539279e+01 
       5.282106415967e-05       8.834260342489e+01 
       6.649777994862e-05       1.102414910766e+02 
       8.371574500521e-05       1.375660078918e+02 
       1.053918787543e-04       1.716576762721e+02 
       1.326805143606e-04       2.141870750669e+02 
       1.670348711784e-04       2.672320123840e+02 
       2.102844439823e-04       3.333718556708e+02 
       2.647324302343e-04       4.157991074646e+02 
       3.332783837480e-04       5.184472002447e+02 
       4.195726265021e-04       6.461293209756e+02 
       5.282106415967e-04       8.046763073689e+02 
       6.649777994862e-04       1.001052608152e+03 
       8.371574500521e-04       1.243420209468e+03 
       1.053918787543e-03       1.541110128798e+03 
       1.326805143606e-03       1.904427096836e+03 
       1.670348711784e-03       2.344062943915e+03 
       2.102844439823e-03       2.870134242606e+03 
       2.647324302343e-03       3.490398044873e+03 
       3.332783837480e-03       4.207964476374e+03 
       4.195726265021e-03       5.018149953408e+03 
       5.282106415967e-03       5.903911914695e+03 
       6.649777994862e-03       6.830927187741e+03 
       8.371574500521e-03       7.742020609411e+03 
       1.053918787543e-02       8.550191956499e+03 
       1.326805143606e-02       9.137479004420e+03 
       1.670348711782e-02       9.361011340965e+03 
       2.102844423000e-02       9.079531886017e+03 
       2.647311508759e-02       8.229257095101e+03 
       3.331014445964e-02       6.938840034511e+03 
       4.136885460944e-02       5.647953098723e+03 
       4.816661498511e-02       4.905978256168e+03 
       5.309592667177e-02       4.539134327102e+03 
       5.716027213130e-02       4.308979233624e+03 
       6.078887689376e-02       4.134439036715e+03 
       6.417301183884e-02       3.981671614128e+03 
       6.741388326782e-02       3.833661347885e+03 
       7.057216188573e-02       3.681359742166e+03 
       7.368769346297e-02       3.520430107794e+03 
       7.678855618444e-02       3.349808629045e+03 
       7.989569616866e-02       3.170876990574e+03 
       8.302550294513e-02       2.986816940192e+03 
       8.619133535352e-02       2.802044649830e+03 
       8.940447334071e-02       2.621583969647e+03 
       9.267473708059e-02       2.450463514013e+03 
       9.601090385039e-02       2.293168420881e+03 
       9.942099686107e-02       2.153132999537e+03 
       1.029124901290e-01       2.032391276698e+03 
       1.064924565837e-01       1.931359298503e+03 
       1.101676767479e-01       1.848738138853e+03 
       1.139447193710e-01       1.781575372611e+03 
       1.178300016993e-01       1.725459156056e+03 
       1.218298347122e-01       1.674929114314e+03 
       1.259504571236e-01       1.624105201553e+03 
       1.301980609468e-01       1.567638985684e+03 
       1.345788107502e-01       1.501724341544e+03 
       1.390988582889e-01       1.425038444444e+03 
       1.437643538992e-01       1.339172225187e+03 
       1.485814558534e-01       1.248347896976e+03 
       1.535563387398e-01       1.158431115396e+03 
       1.586952018580e-01       1.075478531292e+03 
       1.640042785656e-01       1.004219484657e+03 
       1.694898474838e-01       9.468730757770e+02 
       1.751582464469e-01       9.025814950353e+02 
       1.810158900696e-01       8.675998032059e+02 
       1.870692917951e-01       8.364919800536e+02 
       1.933250912854e-01       8.032638561806e+02 
       1.997900880147e-01       7.634624612469e+02 
       2.064712819438e-01       7.165319354740e+02 
       2.133759221837e-01       6.657001334670e+02 
       2.205115646163e-01       6.162331424300e+02 
       2.278861395380e-01       5.729073084493e+02 
       2.355080305422e-01       5.380883856567e+02 
       2.433861660729e-01       5.108993179046e+02 
       2.515301253921e-01       4.876570809837e+02 
       2.599502611228e-01       4.638310428984e+02 
       2.686578411025e-01       4.366693811485e+02 
       2.776652130364e-01       4.067063446908e+02 
       2.869859964475e-01       3.771542869222e+02 
       2.966353077477e-01       3.514029284564e+02 
       3.066300260112e-01       3.304139082257e+02 
       3.169891093796e-01       3.123660433532e+02 
       3.277339751681e-01       2.944493207987e+02 
       3.388889610125e-01       2.752020356477e+02 
       3.504818902473e-01       2.556326610408e+02 
       3.625447728490e-01       2.377560826659e+02 
       3.751146847558e-01       2.223889632324e+02 
       3.882348848407e-01       2.083845382409e+02 
       4.019562528021e-01       1.943299402792e+02 
       4.163391668784e-01       1.802270132692e+02 
       4.314559942899e-01       1.670572680396e+02 
       4.473944509880e-01       1.551480623234e+02 
       4.642622201314e-01       1.438600152521e+02 
       4.821934354078e-01       1.326910664294e+02 
       5.013579996608e-01       1.220482794982e+02 
       5.219753429807e-01       1.121502386827e+02 
       5.443353695948e-01       1.025220416864e+02 
       5.688315040792e-01       9.320046897431e+01 
       5.960150320369e-01       8.427871154896e+01 
       6.266889140924e-01       7.552812480816e+01 
       6.620793148496e-01       6.696311098435e+01 
       7.041710860999e-01       5.843287051387e+01 
       7.564162908969e-01       4.982952668536e+01 
       8.253512520039e-01       4.096583399803e+01 
       9.244174391603e-01       3.167173576981e+01 
       1.081054574453e+00       2.209620276077e+01 
       1.330420137806e+00       1.360039070465e+01 
       1.672107132583e+00       7.893965473696e+00 
       2.105005058756e+00       4.522602479325e+00 
