# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.25
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.053918787543e-05      -7.050280657495e-08      -4.349712528018e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.916032274895e+01 
       1.326805143606e-05      -1.394439598453e-07      -8.603000003740e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.886924507279e+01 
       1.670348711784e-05      -2.757985323333e-07      -1.701527278642e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.098522396611e+01 
       2.102844439823e-05      -5.454806576090e-07      -3.365327881598e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.610498254552e+01 
       2.647324302343e-05      -1.078866913535e-06      -6.656024480035e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.497310079948e+01 
       3.332783837480e-05      -2.133800238719e-06      -1.316439721734e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.185186470383e+02 
       4.195726265021e-05      -4.220241815977e-06      -2.603662975453e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.479007834233e+02 
       5.282106415967e-05      -8.343687113590e-06      -5.149765285434e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.845654797125e+02 
       6.649777994862e-05      -1.649926680884e-05      -1.018449084057e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.303165012334e+02 
       8.371574500521e-05      -3.262661859328e-05      -2.014209654850e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.874023935589e+02 
       1.053918787543e-04      -6.451324165448e-05      -3.983415717680e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.586256425256e+02 
       1.326805143606e-04      -1.275505603667e-04      -7.877418114068e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.474758520883e+02 
       1.670348711784e-04      -2.521470304339e-04      -1.557673404321e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.582929075285e+02 
       2.102844439823e-04      -4.983511455871e-04      -3.079730861683e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.964636751528e+02 
       2.647324302343e-04      -9.846593181888e-04      -6.087814541331e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.686545881130e+02 
       3.332783837480e-04      -1.944664892249e-03      -1.203023563901e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.083078256112e+03 
       4.195726265021e-04      -3.838162707169e-03      -2.376176427395e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.349784337945e+03 
       5.282106415967e-04      -7.568250553746e-03      -4.689967163203e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.680952732267e+03 
       6.649777994862e-04      -1.490341523789e-02      -9.246974629651e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.091150852281e+03 
       8.371574500521e-04      -2.929267342077e-02      -1.820409255838e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.597495057268e+03 
       1.053918787543e-03      -5.742587691791e-02      -3.576166521423e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.219611172395e+03 
