# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.053918787543e-04      -1.100471261377e-04      -5.204722233920e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.685794774102e+02 
       1.326805143606e-04      -2.175758766515e-04      -1.029258216737e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.846689751380e+02 
       1.670348711784e-04      -4.301103950548e-04      -2.035234968518e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.294579498511e+02 
       2.102844439823e-04      -8.500765429959e-04      -4.023902053997e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.099826376894e+02 
       2.647324302343e-04      -1.679590007486e-03      -7.954094881533e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.134949326382e+03 
       3.332783837480e-04      -3.317067860319e-03      -1.571794602831e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.415081639637e+03 
       4.195726265021e-04      -6.546697174594e-03      -3.104485656014e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.763499573302e+03 
       5.282106415967e-04      -1.290864136433e-02      -6.127269666990e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.196102942735e+03 
       6.649777994862e-04      -2.541878508443e-02      -1.208038864596e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.731911357678e+03 
       8.371574500521e-04      -4.995877923930e-02      -2.378122571242e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.393281815613e+03 
       1.053918787543e-03      -9.793680422188e-02      -4.671631749993e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.205854980493e+03 
       1.326805143606e-03      -1.913184671568e-01      -9.150526477754e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.197946102867e+03 
       1.670348711784e-03      -3.719742614505e-01      -1.785325123432e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.398865860408e+03 
       2.102844439823e-03      -7.187149015055e-01      -3.465245508183e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.836455982395e+03 
       2.647324302343e-03      -1.377388611437e+00      -6.680502151168e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.532236285906e+03 
       3.332783837480e-03      -2.612168385183e+00      -1.276800577527e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.149499443992e+04 
       4.195726265021e-03      -4.888599856089e+00      -2.413922188865e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.371225769779e+04 
       5.282106415967e-03      -8.997664389802e+00      -4.502671197187e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.613823140615e+04 
       6.649777994862e-03      -1.621792465383e+01      -8.259912893757e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.867932484685e+04 
       8.371574500521e-03      -2.847237024412e+01      -1.484242135391e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.117826916109e+04 
       1.053918787543e-02      -4.833559977057e+01      -2.598995952886e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.339867720002e+04 
       1.326805143606e-02      -7.854168168186e+01      -4.403885409264e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.501622112185e+04 
       1.670348711782e-02      -1.203636746778e+02      -7.153268728331e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.563836082455e+04 
       2.102844423000e-02      -1.701039451168e+02      -1.100096320462e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.487806088128e+04 
       2.647311508759e-02      -2.145466773399e+02      -1.580817794339e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.255651937483e+04 
       3.331014445964e-02      -2.318931159438e+02      -2.110989427482e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.902539364374e+04 
       4.136885460944e-02      -2.135855603270e+02      -2.650897174932e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.548980210171e+04 
       4.816661498511e-02      -1.937148952312e+02      -3.122036374156e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.345692306216e+04 
       5.309592667177e-02      -1.876620738548e+02      -3.510358316826e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.245168790106e+04 
       5.716027213130e-02      -1.887398434312e+02      -3.862219856157e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.182082193728e+04 
