# Matter power spectrum P(k) at redshift z=0.25
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053918787543e-05       3.916384613410e+01 
       1.326805143606e-05       4.887363966757e+01 
       1.670348711784e-05       6.099070348020e+01 
       2.102844439823e-05       7.611181143727e+01 
       2.647324302343e-05       9.498160467656e+01 
       3.332783837480e-05       1.185292234819e+02 
       4.195726265021e-05       1.479139112795e+02 
       5.282106415967e-05       1.845817903318e+02 
       6.649777994862e-05       2.303364944372e+02 
       8.371574500521e-05       2.874267980149e+02 
       1.053918787543e-04       3.586550208363e+02 
       1.326805143606e-04       4.475103934438e+02 
       1.670348711784e-04       5.583318462235e+02 
       2.102844439823e-04       6.965041136904e+02 
       2.647324302343e-04       8.686891909660e+02 
       3.332783837480e-04       1.083090877864e+03 
       4.195726265021e-04       1.349742075824e+03 
       5.282106415967e-04       1.680792340433e+03 
       6.649777994862e-04       2.090757615601e+03 
       8.371574500521e-04       2.596674574628e+03 
       1.053918787543e-03       3.218059299203e+03 
       1.326805143606e-03       3.976461147757e+03 
       1.670348711784e-03       4.894161957440e+03 
       2.102844439823e-03       5.992226927180e+03 
       2.647324302343e-03       7.286816024989e+03 
       3.332783837480e-03       8.784355179979e+03 
       4.195726265021e-03       1.047489449251e+04 
       5.282106415967e-03       1.232291752157e+04 
       6.649777994862e-03       1.425714098407e+04 
       8.371574500521e-03       1.615731139303e+04 
       1.053918787543e-02       1.784205092961e+04 
       1.326805143606e-02       1.906518161844e+04 
       1.670348711782e-02       1.952862857998e+04 
       2.102844423000e-02       1.893856589788e+04 
       2.647311508759e-02       1.716231953067e+04 
       3.331014445964e-02       1.446893289492e+04 
       4.136885460944e-02       1.177562024606e+04 
       4.816661498511e-02       1.022780075168e+04 
       5.309592667177e-02       9.462556473537e+03 
       5.716027213130e-02       8.982452628321e+03 
       6.078887689376e-02       8.618376075794e+03 
       6.417301183884e-02       8.299733466808e+03 
       6.741388326782e-02       7.991060263952e+03 
       7.057216188573e-02       7.673463701981e+03 
       7.368769346297e-02       7.337906884793e+03 
       7.678855618444e-02       6.982169760268e+03 
       7.989569616866e-02       6.609127170747e+03 
       8.302550294513e-02       6.225413623581e+03 
       8.619133535352e-02       5.840225686597e+03 
       8.940447334071e-02       5.464041411601e+03 
       9.267473708059e-02       5.107334682129e+03 
       9.601090385039e-02       4.779451623054e+03 
       9.942099686107e-02       4.487549329669e+03 
       1.029124901290e-01       4.235864764467e+03 
       1.064924565837e-01       4.025265963289e+03 
       1.101676767479e-01       3.853041037881e+03 
       1.139447193710e-01       3.713038611440e+03 
       1.178300016993e-01       3.596062352040e+03 
       1.218298347122e-01       3.490730165434e+03 
       1.259504571236e-01       3.384787888810e+03 
       1.301980609468e-01       3.267088847281e+03 
       1.345788107502e-01       3.129700641258e+03 
       1.390988582889e-01       2.969866521877e+03 
       1.437643538992e-01       2.790902977012e+03 
       1.485814558534e-01       2.601608653588e+03 
       1.535563387398e-01       2.414208270227e+03 
       1.586952018580e-01       2.241323149964e+03 
       1.640042785656e-01       2.092809702563e+03 
       1.694898474838e-01       1.973291515563e+03 
       1.751582464469e-01       1.880981154059e+03 
       1.810158900696e-01       1.808073322168e+03 
       1.870692917951e-01       1.743237692147e+03 
       1.933250912854e-01       1.673986273461e+03 
       1.997900880147e-01       1.591037682256e+03 
       2.064712819438e-01       1.493231738883e+03 
       2.133759221837e-01       1.387296268882e+03 
       2.205115646163e-01       1.284205752605e+03 
       2.278861395380e-01       1.193913151839e+03 
       2.355080305422e-01       1.121349902403e+03 
       2.433861660729e-01       1.064687527145e+03 
       2.515301253921e-01       1.016250022979e+03 
       2.599502611228e-01       9.665958206406e+02 
       2.686578411025e-01       9.099914324567e+02 
       2.776652130364e-01       8.475488978858e+02 
       2.869859964475e-01       7.859633302271e+02 
       2.966353077477e-01       7.322982878483e+02 
       3.066300260112e-01       6.885577994517e+02 
       3.169891093796e-01       6.509460713518e+02 
       3.277339751681e-01       6.136088279372e+02 
       3.388889610125e-01       5.734983932001e+02 
       3.504818902473e-01       5.327168318967e+02 
       3.625447728490e-01       4.954631182756e+02 
       3.751146847558e-01       4.634389370053e+02 
       3.882348848407e-01       4.342544250159e+02 
       4.019562528021e-01       4.049658786708e+02 
       4.163391668784e-01       3.755762340638e+02 
       4.314559942899e-01       3.481314552893e+02 
       4.473944509880e-01       3.233135659646e+02 
       4.642622201314e-01       2.997901696603e+02 
       4.821934354078e-01       2.765151626343e+02 
       5.013579996608e-01       2.543363340604e+02 
